category,title_chs,title,abbr,id
PRODUCTIVITY,工具,Tools,TOOLS,1
PERSONALIZATION,工具,Tools,TOOLS,1
TOOLS,工具,Tools,TOOLS,1
PARENTING,工具,Tools,TOOLS,1
EVENTS,工具,Tools,TOOLS,1
WEATHER,工具,Tools,TOOLS,1
ART_AND_DESIGN,工具,Tools,TOOLS,1
GAME_ACTION,游戏,Games,GAMES,2
GAME_ADVENTURE,游戏,Games,GAMES,2
GAME_ARCADE,游戏,Games,GAMES,2
GAME_BOARD,游戏,Games,GAMES,2
GAME_CASINO,游戏,Games,GAMES,2
GAME_CASUAL,游戏,Games,GAMES,2
GAME_MUSIC,游戏,Games,GAMES,2
GAME_PUZZLE,游戏,Games,GAMES,2
GAME_RACING,游戏,Games,GAMES,2
GAME_ROLE_PLAYING,游戏,Games,GAMES,2
GAME_SIMULATION,游戏,Games,GAMES,2
GAME_SPORTS,游戏,Games,GAMES,2
GAME_STRATEGY,游戏,Games,GAMES,2
GAME_TRIVIA,游戏,Games,GAMES,2
GAME_WORD,游戏,Games,GAMES,2
GAME_CARD,游戏,Games,GAMES,2
GAME_EDUCATIONAL,游戏,Games,GAMES,2
ENTERTAINMENT,娱乐,Entertainment,ENTERTAINMENT,3
HEALTH_AND_FITNESS,运动和健康,Sports & Fitness,SPORTS_FITNESS,4
SPORTS,运动和健康,Sports & Fitness,SPORTS_FITNESS,4
PHOTOGRAPHY,影音,Multimedia,MULTIMEDIA,5
MUSIC_AND_AUDIO,影音,Multimedia,MULTIMEDIA,5
VIDEO_PLAYERS,影音,Multimedia,MULTIMEDIA,5
SOCIAL,社交,Social,SOCIAL,6
COMMUNICATION,社交,Social,SOCIAL,6
DATING,社交,Social,SOCIAL,6
AUTO_AND_VEHICLES,出行方式,Trip,TRIP,7
MAPS_AND_NAVIGATION,出行方式,Trip,TRIP,7
TRAVEL_AND_LOCAL,出行方式,Trip,TRIP,7
HOUSE_AND_HOME,生活方式,Lift style,LIFT_STYLE,8
LIFESTYLE,生活方式,Lift style,LIFT_STYLE,8
MEDICAL,生活方式,Lift style,LIFT_STYLE,8
FOOD_AND_DRINK,生活方式,Lift style,LIFT_STYLE,8
BUSINESS,商业和理财,Business&Finance,BUSINESS_FINANCE,9
FINANCE,商业和理财,Business&Finance,BUSINESS_FINANCE,9
COMICS,书籍与参考,Books&Reference,BOOKS_REFERENCE,10
BOOKS_AND_REFERENCE,书籍与参考,Books&Reference,BOOKS_REFERENCE,10
NEWS_AND_MAGAZINES,书籍与参考,Books&Reference,BOOKS_REFERENCE,10
SHOPPING,购物,Shopping,SHOPPING,11
EDUCATION,教育,Eduction,EDUCATION,12